  -2.0000000e+00   0.0000000e+00
  -1.2577000e+00   2.6320000e-01
   1.8320000e-01   5.2630000e-01
   1.9120000e+00   7.8950000e-01
   3.4451000e+00   1.0526000e+00
   4.8002000e+00   1.3158000e+00
   5.7698000e+00   1.5789000e+00
   5.9471000e+00   1.8421000e+00
   5.8797000e+00   2.1053000e+00
   5.3791000e+00   2.3684000e+00
   4.7348000e+00   2.6316000e+00
   4.4060000e+00   2.8947000e+00
   4.4752000e+00   3.1579000e+00
   4.0958000e+00   3.4211000e+00
   5.8747000e+00   3.6842000e+00
   6.8948000e+00   3.9474000e+00
   7.7703000e+00   4.2105000e+00
   8.1217000e+00   4.4737000e+00
   8.0500000e+00   4.7368000e+00
   7.1781000e+00   5.0000000e+00
   5.7088000e+00   5.2632000e+00
   3.8246000e+00   5.5263000e+00
   1.7806000e+00   5.7895000e+00
  -1.7450000e-01   6.0526000e+00
  -1.8666000e+00   6.3158000e+00
